customer_id,Recommendation_name,Recommendation_date,suggestion_type,purchase_flag
1,Recommend_screenguard,7/2/2021,With phone,0
2,Recommend_screenguard,7/3/2021,With phone,0
3,Recommend_screenguard,7/4/2021,With cover,1
4,Recommend_screenguard,7/5/2021,With phone,0
5,Recommend_screenguard,7/6/2021,With cover,1
6,Recommend_screenguard,7/7/2021,With cover,0
7,Recommend_screenguard,7/8/2021,With cover,1
8,Recommend_screenguard,7/9/2021,With phone,0
9,Recommend_screenguard,7/10/2021,With phone,0
10,Recommend_screenguard,7/11/2021,With phone,0
11,Recommend_screenguard,7/12/2021,With cover,1
12,Recommend_screenguard,7/13/2021,With cover,1
13,Recommend_screenguard,7/14/2021,With cover,1
14,Recommend_screenguard,7/15/2021,With phone,1
15,Recommend_screenguard,7/16/2021,With cover,1
16,Recommend_screenguard,7/17/2021,With phone,0
,,,,
,,,,
19,Recommend_screenguard,7/20/2021,With phone,1
20,Recommend_screenguard,7/21/2021,With phone,1
,,,,
22,Recommend_screenguard,7/23/2021,With cover,1
23,Recommend_screenguard,7/24/2021,With phone,1
24,Recommend_screenguard,7/25/2021,With phone,0
,,,,
26,Recommend_screenguard,7/27/2021,With cover,1
,,,,
28,Recommend_screenguard,7/29/2021,With phone,0
29,Recommend_screenguard,7/30/2021,With phone,0
30,Recommend_screenguard,7/31/2021,With cover,1
31,Recommend_screenguard,8/1/2021,With cover,1
32,Recommend_screenguard,8/2/2021,With phone,1
33,Recommend_screenguard,8/3/2021,With cover,1
34,Recommend_screenguard,8/4/2021,With cover,1
35,Recommend_screenguard,8/5/2021,With cover,1
,,,,
37,Recommend_screenguard,8/7/2021,With phone,1
38,Recommend_screenguard,8/8/2021,With cover,0
39,Recommend_screenguard,8/9/2021,With phone,1
40,Recommend_screenguard,8/10/2021,With phone,1
41,Recommend_screenguard,8/11/2021,With phone,1
42,Recommend_screenguard,8/12/2021,With phone,1
43,Recommend_screenguard,8/13/2021,With phone,1
,,,,
,,,,
46,Recommend_screenguard,8/16/2021,With phone,0
47,Recommend_screenguard,8/17/2021,With phone,0
48,Recommend_screenguard,8/18/2021,With phone,1
49,Recommend_screenguard,8/19/2021,With cover,1
50,Recommend_screenguard,8/20/2021,With cover,1
51,Recommend_screenguard,8/21/2021,With cover,1
52,Recommend_screenguard,8/22/2021,With cover,0
53,Recommend_screenguard,8/23/2021,With cover,1
,,,,
55,Recommend_screenguard,8/25/2021,With cover,1
56,Recommend_screenguard,8/26/2021,With phone,1
57,Recommend_screenguard,8/27/2021,With cover,1
58,Recommend_screenguard,8/28/2021,With phone,0
59,Recommend_screenguard,8/29/2021,With cover,1
60,Recommend_screenguard,8/30/2021,With cover,1
61,Recommend_screenguard,8/31/2021,With phone,1
62,Recommend_screenguard,9/1/2021,With phone,1
63,Recommend_screenguard,9/2/2021,With phone,0
64,Recommend_screenguard,9/3/2021,With phone,1
65,Recommend_screenguard,9/4/2021,With phone,0
66,Recommend_screenguard,9/5/2021,With cover,0
67,Recommend_screenguard,9/6/2021,With phone,0
68,Recommend_screenguard,9/7/2021,With cover,1
69,Recommend_screenguard,9/8/2021,With phone,1
70,Recommend_screenguard,9/9/2021,With phone,1
71,Recommend_screenguard,9/10/2021,With cover,1
,,,,
,,,,
74,Recommend_screenguard,9/13/2021,With phone,1
75,Recommend_screenguard,9/14/2021,With cover,0
76,Recommend_screenguard,9/15/2021,With cover,1
77,Recommend_screenguard,9/16/2021,With cover,0
78,Recommend_screenguard,9/17/2021,With phone,0
79,Recommend_screenguard,9/18/2021,With phone,0
80,Recommend_screenguard,9/19/2021,With phone,1
81,Recommend_screenguard,9/20/2021,With cover,1
82,Recommend_screenguard,9/21/2021,With cover,0
83,Recommend_screenguard,9/22/2021,With phone,1
84,Recommend_screenguard,9/23/2021,With phone,0
85,Recommend_screenguard,9/24/2021,With phone,1
86,Recommend_screenguard,9/25/2021,With cover,0
87,Recommend_screenguard,9/26/2021,With cover,1
,,,,
89,Recommend_screenguard,9/28/2021,With cover,0
90,Recommend_screenguard,9/29/2021,With phone,0
91,Recommend_screenguard,9/30/2021,With phone,1
92,Recommend_screenguard,10/1/2021,With cover,1
,,,,
94,Recommend_screenguard,10/3/2021,With cover,1
95,Recommend_screenguard,10/4/2021,With phone,1
,,,,
97,Recommend_screenguard,10/6/2021,With phone,0
98,Recommend_screenguard,10/7/2021,With phone,0
99,Recommend_screenguard,10/8/2021,With cover,1
100,Recommend_screenguard,10/9/2021,With cover,0
,,,,
,,,,
103,Recommend_screenguard,10/12/2021,With cover,0
,,,,
105,Recommend_screenguard,10/14/2021,With phone,1
106,Recommend_screenguard,10/15/2021,With phone,0
,,,,
108,Recommend_screenguard,10/17/2021,With phone,0
109,Recommend_screenguard,10/18/2021,With phone,0
110,Recommend_screenguard,10/19/2021,With phone,0
111,Recommend_screenguard,10/20/2021,With phone,0
112,Recommend_screenguard,10/21/2021,With phone,1
113,Recommend_screenguard,10/22/2021,With cover,1
114,Recommend_screenguard,10/23/2021,With cover,1
115,Recommend_screenguard,10/24/2021,With cover,0
116,Recommend_screenguard,10/25/2021,With phone,0
117,Recommend_screenguard,10/26/2021,With phone,0
118,Recommend_screenguard,10/27/2021,With cover,0
119,Recommend_screenguard,10/28/2021,With phone,0
120,Recommend_screenguard,10/29/2021,With phone,0
,,,,
122,Recommend_screenguard,10/31/2021,With cover,0
123,Recommend_screenguard,11/1/2021,With phone,1
124,Recommend_screenguard,11/2/2021,With phone,0
,,,,
126,Recommend_screenguard,11/4/2021,With phone,0
127,Recommend_screenguard,11/5/2021,With phone,0
128,Recommend_screenguard,11/6/2021,With phone,0
129,Recommend_screenguard,11/7/2021,With phone,0
130,Recommend_screenguard,11/8/2021,With phone,0
131,Recommend_screenguard,11/9/2021,With cover,0
132,Recommend_screenguard,11/10/2021,With phone,0
133,Recommend_screenguard,11/11/2021,With cover,0
134,Recommend_screenguard,11/12/2021,With cover,0
135,Recommend_screenguard,11/13/2021,With cover,0
136,Recommend_screenguard,11/14/2021,With phone,0
137,Recommend_screenguard,11/15/2021,With phone,0
138,Recommend_screenguard,11/16/2021,With phone,0
139,Recommend_screenguard,11/17/2021,With cover,1
140,Recommend_screenguard,11/18/2021,With phone,0
141,Recommend_screenguard,11/19/2021,With phone,0
142,Recommend_screenguard,11/20/2021,With phone,1
143,Recommend_screenguard,11/21/2021,With phone,0
144,Recommend_screenguard,11/22/2021,With phone,0
145,Recommend_screenguard,11/23/2021,With cover,0
146,Recommend_screenguard,11/24/2021,With cover,0
147,Recommend_screenguard,11/25/2021,With phone,0
148,Recommend_screenguard,11/26/2021,With phone,0
,,,,
,,,,
151,Recommend_screenguard,11/29/2021,With phone,0
152,Recommend_screenguard,11/30/2021,With cover,1
153,Recommend_screenguard,12/1/2021,With phone,0
154,Recommend_screenguard,12/2/2021,With cover,0
155,Recommend_screenguard,12/3/2021,With cover,0
156,Recommend_screenguard,12/4/2021,With cover,0
157,Recommend_screenguard,12/5/2021,With phone,0
158,Recommend_screenguard,12/6/2021,With cover,0
159,Recommend_screenguard,12/7/2021,With cover,0
160,Recommend_screenguard,12/8/2021,With phone,1
161,Recommend_screenguard,12/9/2021,With phone,0
,,,,
163,Recommend_screenguard,12/11/2021,With cover,0
164,Recommend_screenguard,12/12/2021,With cover,0
,,,,
,,,,
,,,,
168,Recommend_screenguard,12/16/2021,With phone,0
169,Recommend_screenguard,12/17/2021,With phone,1
,,,,
171,Recommend_screenguard,12/19/2021,With phone,0
172,Recommend_screenguard,12/20/2021,With cover,0
173,Recommend_screenguard,12/21/2021,With phone,0
,,,,
175,Recommend_screenguard,12/23/2021,With cover,0
176,Recommend_screenguard,12/24/2021,With phone,0
,,,,
,,,,
179,Recommend_screenguard,12/27/2021,With cover,0
,,,,
181,Recommend_screenguard,12/29/2021,With phone,0
182,Recommend_screenguard,12/30/2021,With phone,1
,,,,
,,,,
185,Recommend_screenguard,1/2/2022,With phone,0
,,,,
187,Recommend_screenguard,1/4/2022,With phone,1
188,Recommend_screenguard,1/5/2022,With phone,1
189,Recommend_screenguard,1/6/2022,With phone,0
190,Recommend_screenguard,1/7/2022,With phone,0
191,Recommend_screenguard,1/8/2022,With phone,1
192,Recommend_screenguard,1/9/2022,With cover,0
193,Recommend_screenguard,1/10/2022,With phone,0
194,Recommend_screenguard,1/11/2022,With cover,0
195,Recommend_screenguard,1/12/2022,With cover,0
,,,,
197,Recommend_screenguard,1/14/2022,With cover,0
198,Recommend_screenguard,1/15/2022,With phone,1
199,Recommend_screenguard,1/16/2022,With cover,0
200,Recommend_screenguard,1/17/2022,With phone,0
201,Recommend_screenguard,1/18/2022,With cover,0
202,Recommend_screenguard,1/19/2022,With phone,0
203,Recommend_screenguard,1/20/2022,With cover,1
204,Recommend_screenguard,1/21/2022,With cover,0
205,Recommend_screenguard,1/22/2022,With cover,0
206,Recommend_screenguard,1/23/2022,With phone,1
207,Recommend_screenguard,1/24/2022,With cover,1
,,,,
209,Recommend_screenguard,1/26/2022,With cover,0
210,Recommend_screenguard,1/27/2022,With cover,1
211,Recommend_screenguard,1/28/2022,With cover,1
212,Recommend_screenguard,1/29/2022,With phone,1
213,Recommend_screenguard,1/30/2022,With cover,1
214,Recommend_screenguard,1/31/2022,With cover,1
,,,,
216,Recommend_screenguard,2/2/2022,With cover,0
217,Recommend_screenguard,2/3/2022,With phone,1
218,Recommend_screenguard,2/4/2022,With phone,1
219,Recommend_screenguard,2/5/2022,With cover,0
220,Recommend_screenguard,2/6/2022,With phone,1
221,Recommend_screenguard,2/7/2022,With phone,1
,,,,
223,Recommend_screenguard,2/9/2022,With phone,0
224,Recommend_screenguard,2/10/2022,With phone,1
225,Recommend_screenguard,2/11/2022,With phone,0
226,Recommend_screenguard,2/12/2022,With cover,1
227,Recommend_screenguard,2/13/2022,With phone,0
,,,,
229,Recommend_screenguard,2/15/2022,With cover,1
230,Recommend_screenguard,2/16/2022,With phone,0
231,Recommend_screenguard,2/17/2022,With cover,1
232,Recommend_screenguard,2/18/2022,With phone,0
233,Recommend_screenguard,2/19/2022,With cover,1
234,Recommend_screenguard,2/20/2022,With phone,1
235,Recommend_screenguard,2/21/2022,With phone,0
236,Recommend_screenguard,2/22/2022,With cover,0
,,,,
238,Recommend_screenguard,2/24/2022,With cover,1
,,,,
240,Recommend_screenguard,2/26/2022,With phone,1
241,Recommend_screenguard,2/27/2022,With phone,0
242,Recommend_screenguard,2/28/2022,With phone,0
,,,,
244,Recommend_screenguard,3/2/2022,With cover,1
245,Recommend_screenguard,3/3/2022,With cover,1
246,Recommend_screenguard,3/4/2022,With cover,1
247,Recommend_screenguard,3/5/2022,With phone,1
248,Recommend_screenguard,3/6/2022,With cover,0
249,Recommend_screenguard,3/7/2022,With phone,0
250,Recommend_screenguard,3/8/2022,With phone,0
251,Recommend_screenguard,3/9/2022,With cover,0
252,Recommend_screenguard,3/10/2022,With cover,1
253,Recommend_screenguard,3/11/2022,With cover,0
,,,,
255,Recommend_screenguard,3/13/2022,With cover,1
,,,,
257,Recommend_screenguard,3/15/2022,With phone,0
258,Recommend_screenguard,3/16/2022,With cover,0
259,Recommend_screenguard,3/17/2022,With cover,0
260,Recommend_screenguard,3/18/2022,With phone,0
261,Recommend_screenguard,3/19/2022,With cover,1
,,,,
263,Recommend_screenguard,3/21/2022,With cover,0
,,,,
,,,,
266,Recommend_screenguard,3/24/2022,With phone,1
267,Recommend_screenguard,3/25/2022,With cover,1
,,,,
269,Recommend_screenguard,3/27/2022,With phone,1
270,Recommend_screenguard,3/28/2022,With cover,0
,,,,
272,Recommend_screenguard,3/30/2022,With phone,0
273,Recommend_screenguard,3/31/2022,With phone,0
274,Recommend_screenguard,4/1/2022,With phone,1
275,Recommend_screenguard,4/2/2022,With phone,1
,,,,
277,Recommend_screenguard,4/4/2022,With phone,0
278,Recommend_screenguard,4/5/2022,With cover,0
279,Recommend_screenguard,4/6/2022,With cover,1
280,Recommend_screenguard,4/7/2022,With cover,0
281,Recommend_screenguard,4/8/2022,With phone,0
282,Recommend_screenguard,4/9/2022,With phone,1
283,Recommend_screenguard,4/10/2022,With cover,0
284,Recommend_screenguard,4/11/2022,With phone,0
285,Recommend_screenguard,4/12/2022,With phone,1
286,Recommend_screenguard,4/13/2022,With phone,1
287,Recommend_screenguard,4/14/2022,With cover,0
,,,,
,,,,
290,Recommend_screenguard,4/17/2022,With cover,1
291,Recommend_screenguard,4/18/2022,With cover,1
292,Recommend_screenguard,4/19/2022,With cover,1
293,Recommend_screenguard,4/20/2022,With phone,1
294,Recommend_screenguard,4/21/2022,With phone,1
295,Recommend_screenguard,4/22/2022,With phone,1
,,,,
297,Recommend_screenguard,4/24/2022,With cover,1
298,Recommend_screenguard,4/25/2022,With phone,0
299,Recommend_screenguard,4/26/2022,With phone,1
300,Recommend_screenguard,4/27/2022,With phone,0
,,,,
302,Recommend_screenguard,4/29/2022,With phone,0
303,Recommend_screenguard,4/30/2022,With cover,0
304,Recommend_screenguard,5/1/2022,With cover,1
305,Recommend_screenguard,5/2/2022,With cover,0
306,Recommend_screenguard,5/3/2022,With cover,0
,,,,
308,Recommend_screenguard,5/5/2022,With cover,1
309,Recommend_screenguard,5/6/2022,With cover,1
310,Recommend_screenguard,5/7/2022,With phone,0
311,Recommend_screenguard,5/8/2022,With cover,0
,,,,
313,Recommend_screenguard,5/10/2022,With cover,0
314,Recommend_screenguard,5/11/2022,With phone,0
315,Recommend_screenguard,5/12/2022,With phone,1
316,Recommend_screenguard,5/13/2022,With cover,1
317,Recommend_screenguard,5/14/2022,With cover,1
318,Recommend_screenguard,5/15/2022,With phone,0
319,Recommend_screenguard,5/16/2022,With phone,0
,,,,
321,Recommend_screenguard,5/18/2022,With phone,1
322,Recommend_screenguard,5/19/2022,With phone,1
323,Recommend_screenguard,5/20/2022,With cover,1
324,Recommend_screenguard,5/21/2022,With cover,0
325,Recommend_screenguard,5/22/2022,With cover,0
326,Recommend_screenguard,5/23/2022,With phone,1
327,Recommend_screenguard,5/24/2022,With phone,0
,,,,
329,Recommend_screenguard,5/26/2022,With cover,0
330,Recommend_screenguard,5/27/2022,With cover,0
331,Recommend_screenguard,5/28/2022,With phone,0
332,Recommend_screenguard,5/29/2022,With cover,0
333,Recommend_screenguard,5/30/2022,With phone,0
334,Recommend_screenguard,5/31/2022,With phone,0
335,Recommend_screenguard,6/1/2022,With cover,0
336,Recommend_screenguard,6/2/2022,With cover,1
337,Recommend_screenguard,6/3/2022,With phone,0
338,Recommend_screenguard,6/4/2022,With phone,0
,,,,
340,Recommend_screenguard,6/6/2022,With phone,0
341,Recommend_screenguard,6/7/2022,With cover,1
,,,,
343,Recommend_screenguard,6/9/2022,With cover,1
344,Recommend_screenguard,6/10/2022,With cover,1
345,Recommend_screenguard,6/11/2022,With cover,0
346,Recommend_screenguard,6/12/2022,With phone,0
347,Recommend_screenguard,6/13/2022,With phone,1
348,Recommend_screenguard,6/14/2022,With phone,0
,,,,
350,Recommend_screenguard,6/16/2022,With cover,0
351,Recommend_screenguard,6/17/2022,With phone,0
,,,,
353,Recommend_screenguard,6/19/2022,With cover,0
354,Recommend_screenguard,6/20/2022,With phone,0
355,Recommend_screenguard,6/21/2022,With phone,0
356,Recommend_screenguard,6/22/2022,With phone,0
357,Recommend_screenguard,6/23/2022,With phone,0
358,Recommend_screenguard,6/24/2022,With cover,0
359,Recommend_screenguard,6/25/2022,With cover,0
360,Recommend_screenguard,6/26/2022,With cover,0
361,Recommend_screenguard,6/27/2022,With phone,0
362,Recommend_screenguard,6/28/2022,With phone,0
363,Recommend_screenguard,6/29/2022,With phone,0
364,Recommend_screenguard,6/30/2022,With phone,1
365,Recommend_screenguard,7/1/2022,With cover,1
366,Recommend_screenguard,7/2/2022,With phone,0
367,Recommend_screenguard,7/3/2022,With cover,1
368,Recommend_screenguard,7/4/2022,With phone,0
,,,,
370,Recommend_screenguard,7/6/2022,With phone,0
371,Recommend_screenguard,7/7/2022,With phone,0
372,Recommend_screenguard,7/8/2022,With phone,0
373,Recommend_screenguard,7/9/2022,With cover,1
,,,,
375,Recommend_screenguard,7/11/2022,With phone,0
376,Recommend_screenguard,7/12/2022,With cover,0
377,Recommend_screenguard,7/13/2022,With cover,0
378,Recommend_screenguard,7/14/2022,With cover,0
379,Recommend_screenguard,7/15/2022,With phone,0
380,Recommend_screenguard,7/16/2022,With cover,0
381,Recommend_screenguard,7/17/2022,With cover,0
382,Recommend_screenguard,7/18/2022,With phone,1
383,Recommend_screenguard,7/19/2022,With cover,0
384,Recommend_screenguard,7/20/2022,With phone,1
385,Recommend_screenguard,7/21/2022,With phone,1
386,Recommend_screenguard,7/22/2022,With phone,1
387,Recommend_screenguard,7/23/2022,With cover,0
388,Recommend_screenguard,7/24/2022,With phone,0
389,Recommend_screenguard,7/25/2022,With phone,0
390,Recommend_screenguard,7/26/2022,With phone,0
391,Recommend_screenguard,7/27/2022,With phone,0
,,,,
393,Recommend_screenguard,7/29/2022,With phone,1
394,Recommend_screenguard,7/30/2022,With cover,0
395,Recommend_screenguard,7/31/2022,With cover,1
396,Recommend_screenguard,8/1/2022,With cover,0
397,Recommend_screenguard,8/2/2022,With phone,0
,,,,
399,Recommend_screenguard,8/4/2022,With phone,0
400,Recommend_screenguard,8/5/2022,With cover,0
401,Recommend_screenguard,8/6/2022,With phone,0
402,Recommend_screenguard,8/7/2022,With phone,0
,,,,
404,Recommend_screenguard,8/9/2022,With phone,1
405,Recommend_screenguard,8/10/2022,With phone,0
406,Recommend_screenguard,8/11/2022,With phone,0
407,Recommend_screenguard,8/12/2022,With cover,0
408,Recommend_screenguard,8/13/2022,With phone,0
409,Recommend_screenguard,8/14/2022,With phone,0
410,Recommend_screenguard,8/15/2022,With cover,0
411,Recommend_screenguard,8/16/2022,With phone,1
412,Recommend_screenguard,8/17/2022,With phone,0
413,Recommend_screenguard,8/18/2022,With phone,1
414,Recommend_screenguard,8/19/2022,With cover,0
415,Recommend_screenguard,8/20/2022,With phone,0
,,,,
417,Recommend_screenguard,8/22/2022,With cover,1
418,Recommend_screenguard,8/23/2022,With cover,0
419,Recommend_screenguard,8/24/2022,With cover,1
,,,,
421,Recommend_screenguard,8/26/2022,With cover,0
,,,,
423,Recommend_screenguard,8/28/2022,With cover,0
424,Recommend_screenguard,8/29/2022,With phone,0
425,Recommend_screenguard,8/30/2022,With phone,0
426,Recommend_screenguard,8/31/2022,With phone,0
427,Recommend_screenguard,9/1/2022,With cover,0
